ticket,open_time,type,size,symbol,open_price,sl,tp,close_time,close_price,commission,taxes,swap,profit,comment
109983912,2026.02.03 13:05:06,sell,0.60,eurusd,1.17840,0.00000,0.00000,2026.02.03 20:44:16,1.18117,0.00,0.00,0.00,-166.20,#300 230417_RandomWalk_YHH_unlimited
109815505,2026.02.03 03:00:00,buy,0.60,usdchf,0.77845,0.00000,0.00000,2026.02.03 20:44:17,0.77539,0.00,0.00,0.00,-236.78,#100 230417_RandomWalk_YHH_unlimited
109867590,2026.02.03 06:00:00,sell,0.60,audusd,0.70215,0.00000,0.00000,2026.02.03 20:44:17,0.70082,0.00,0.00,0.00,79.80,#600 230417_RandomWalk_YHH_unlimited
109941481,2026.02.03 09:45:00,buy,0.60,audusd,0.70473,0.00000,0.00000,2026.02.03 20:44:17,0.70067,0.00,0.00,0.00,-243.60,#600 230417_RandomWalk_YHH_unlimited
109815495,2026.02.03 03:00:00,sell,0.60,audusd,0.69674,0.00000,0.00000,2026.02.03 20:44:18,0.70078,0.00,0.00,0.00,-242.40,#600 230417_RandomWalk_YHH_unlimited
109815502,2026.02.03 03:00:00,sell,0.60,gbpusd,1.36794,0.00000,0.00000,2026.02.03 20:44:18,1.36787,0.00,0.00,0.00,4.20,#200 230417_RandomWalk_YHH_unlimited
109698685,2026.02.02 18:00:00,sell,0.60,gbpusd,1.36274,0.00000,0.00000,2026.02.03 20:44:19,1.36786,0.00,0.00,-1.69,-307.20,#200 230417_RandomWalk_YHH_unlimited
109720769,2026.02.02 19:00:00,sell,0.60,gbpusd,1.36528,0.00000,0.00000,2026.02.03 20:44:19,1.36786,0.00,0.00,-1.69,-154.80,#200 230417_RandomWalk_YHH_unlimited
109743562,2026.02.02 20:20:00,sell,0.60,audusd,0.69364,0.00000,0.00000,2026.02.03 20:44:19,0.70078,0.00,0.00,-1.07,-428.40,#600 230417_RandomWalk_YHH_unlimited
109648006,2026.02.02 16:00:00,sell,0.60,usdjpy,155.227,0.000,0.000,2026.02.03 20:44:20,155.796,0.00,0.00,-7.06,-219.13,#400 230417_RandomWalk_YHH_unlimited
109693450,2026.02.02 17:45:00,buy,0.60,usdchf,0.78098,0.00000,0.00000,2026.02.03 20:44:20,0.77540,0.00,0.00,3.26,-431.78,#100 230417_RandomWalk_YHH_unlimited
109698664,2026.02.02 18:00:00,sell,0.60,usdjpy,155.662,0.000,0.000,2026.02.03 20:44:20,155.796,0.00,0.00,-7.06,-51.61,#400 230417_RandomWalk_YHH_unlimited
109698674,2026.02.02 18:00:00,buy,0.60,eurusd,1.17930,0.00000,0.00000,2026.02.03 20:44:20,1.18098,0.00,0.00,-4.62,100.80,#300 230417_RandomWalk_YHH_unlimited
109611036,2026.02.02 13:35:01,sell,0.60,usdjpy,154.736,0.000,0.000,2026.02.03 20:44:21,155.796,0.00,0.00,-7.06,-408.23,#400 230417_RandomWalk_YHH_unlimited
109611055,2026.02.02 13:35:07,buy,0.60,eurusd,1.18706,0.00000,0.00000,2026.02.03 20:44:21,1.18095,0.00,0.00,-4.62,-366.60,#300 230417_RandomWalk_YHH_unlimited
109648004,2026.02.02 16:00:00,buy,0.60,eurusd,1.18214,0.00000,0.00000,2026.02.03 20:44:21,1.18095,0.00,0.00,-4.62,-71.40,#300 230417_RandomWalk_YHH_unlimited
110137230,2026.02.03 20:49:16,sell,0.60,audusd,0.70046,0.00000,0.00000,2026.02.03 21:05:01,0.69945,0.00,0.00,0.00,60.60,#600 230417_RandomWalk_YHH_unlimited
110137226,2026.02.03 20:49:16,buy,0.60,audusd,0.70062,0.00000,0.00000,2026.02.03 22:35:00,0.70168,0.00,0.00,0.00,63.60,#600 230417_RandomWalk_YHH_unlimited
110137229,2026.02.03 20:49:16,buy,0.60,gbpusd,1.36812,0.00000,0.00000,2026.02.03 22:35:00,1.36920,0.00,0.00,0.00,64.80,#200 230417_RandomWalk_YHH_unlimited
110137225,2026.02.03 20:49:16,buy,0.60,eurusd,1.18143,0.00000,0.00000,2026.02.03 23:15:00,1.18244,0.00,0.00,0.00,60.60,#300 230417_RandomWalk_YHH_unlimited
110137227,2026.02.03 20:49:16,buy,0.60,usdchf,0.77514,0.00000,0.00000,2026.02.04 01:30:00,0.77589,0.00,0.00,3.32,58.00,#100 230417_RandomWalk_YHH_unlimited
